ds,yhat,y
2025-04-21 00:00:00,0.027174944,0.157
2025-04-21 01:00:00,0.0912775,0.157
2025-04-21 02:00:00,0.13373426,0.157
2025-04-21 03:00:00,0.13373426,0.157
2025-04-21 04:00:00,0.12747005,0.157
2025-04-21 05:00:00,0.13222787,0.157
2025-04-21 06:00:00,0.085108824,0.157
2025-04-21 07:00:00,1.7574725,0.157
2025-04-21 08:00:00,2.343691,0.155
2025-04-21 09:00:00,-1.2983037,0.154
2025-04-21 10:00:00,-0.5871654,0.152
2025-04-21 11:00:00,1.7623996,0.153
2025-04-21 12:00:00,2.0713031,0.151
2025-04-21 13:00:00,7.196332,0.152
2025-04-21 14:00:00,2.5006576,0.154
2025-04-21 15:00:00,0.15552063,0.153
2025-04-21 16:00:00,2.945872,0.156
2025-04-21 17:00:00,0.14365181,0.156
2025-04-21 18:00:00,0.2192481,0.157
2025-04-21 19:00:00,0.1190843,0.157
2025-04-21 20:00:00,0.13186151,0.157
2025-04-21 21:00:00,0.077000536,0.156
2025-04-21 22:00:00,0.095189296,0.156
2025-04-21 23:00:00,0.095189296,0.156
