ds,Real,Predicted
2024-09-06,,565.4860043819514
2024-09-07,,312.765975379991
2024-09-08,,308.95721755763145
2024-09-09,,605.7487479713238
2024-09-10,,667.081954375855
2024-09-11,,584.0604321725025
2024-09-12,,638.4838517859376
2024-09-13,,561.2957771488038
2024-09-14,,308.4513892045087
2024-09-15,,303.34208205583343
2024-09-16,,594.9779539602532
2024-09-17,,653.9343816988122
2024-09-18,,571.1711123409799
2024-09-19,,624.0069005988141
2024-09-20,,547.9359919011208
2024-09-21,,299.6960485748516
2024-09-22,,295.0043722982052
2024-09-23,,582.5623620272958
2024-09-24,,641.8829214895303
2024-09-25,,561.7632913833617
2024-09-26,,615.7662596741746
2024-09-27,,542.3153441220896
2024-09-28,,297.2951602206
2024-09-29,,294.00014663982665
2024-09-30,,583.2008962152877
2024-10-01,,644.9789381456684
2024-10-02,,566.6775244882712
2024-10-03,,623.1883822260235
2024-10-04,,550.8629266825282
2024-10-05,,304.04120014196405
2024-10-06,,301.6103253643164
2024-10-07,,596.5663958080024
2024-10-08,,660.3675933065213
2024-10-09,,581.1694847341369
2024-10-10,,639.0167815796733
2024-10-11,,565.1944198512336
2024-10-12,,313.3215039532097
2024-10-13,,310.3971135932825
2024-10-14,,609.6568361781688
2024-10-15,,673.1733815438965
2024-10-16,,591.3462596169825
2024-10-17,,648.2402201024331
2024-10-18,,571.9086741577336
2024-10-19,,316.6188033468094
2024-10-20,,312.4965263368583
2024-10-21,,611.1561678162441
2024-10-22,,672.8613529561179
2024-10-23,,589.4359275680174
2024-10-24,,644.6178506490633
2024-10-25,,567.3855518382213
2024-10-26,,312.9526348265763
2024-10-27,,308.3723179016356
2024-10-28,,600.0307969702249
2024-10-29,,652.6475757388127
2024-10-30,,572.3082876792687
2024-10-31,,636.3847611663133
2024-11-01,,562.7453094728445
2024-11-02,,308.2184827489217
2024-11-03,,313.57781991646345
2024-11-04,,621.7950470124453
2024-11-05,,692.7126857979938
2024-11-06,,594.3415709680091
2024-11-07,,666.5156598397587
2024-11-08,,598.9055718431304
2024-11-09,,328.4396064152089
2024-11-10,,319.0902844488679
2024-11-11,,624.4853522515413
2024-11-12,,698.7056835168112
2024-11-13,,620.7326030294993
2024-11-14,,670.7476935538065
2024-11-15,,601.2683167030012
2024-11-16,,343.69655507576556
2024-11-17,,344.94619957402904
2024-11-18,,666.7718828488778
2024-11-19,,738.3623292535689
2024-11-20,,676.3558455984398
2024-11-21,,759.817635195178
2024-11-22,,670.0934021367194
2024-11-23,,372.6188331309605
2024-11-24,,338.00242713430043
2024-11-25,,663.6179845535453
2024-11-26,,761.5076206705087
2024-11-27,,667.227455872377
2024-11-28,,747.4280057724454
2024-11-29,,680.5843718179902
2024-11-30,,386.1978441796499
2024-12-01,,390.11579075280804
2024-12-02,,706.5785842901697
2024-12-03,,798.4933990210702
2024-12-04,,710.1121079522043
2024-12-05,,746.6421525580411
2024-12-06,,653.8065724669132
2024-12-07,,370.8895617939904
2024-12-08,,372.7604967112344
2024-12-09,,704.9965872446636
2024-12-10,,770.661721439971
2024-12-11,,680.2381868727894
2024-12-12,,742.2501108356832
2024-12-13,,666.8373463022778
2024-12-14,,366.3260472610067
2024-12-15,,344.50636452943525
2024-12-16,,637.85026688041
2024-12-17,,710.6857033855296
2024-12-18,,609.0230221934197
2024-12-19,,669.6963128439842
2024-12-20,,608.4980847473292
2024-12-21,,323.9698205664952
2024-12-22,,331.8760736020515
2024-12-23,,637.3912695515734
2024-12-24,,700.0251443344425
2024-12-25,,590.8902987332249
2024-12-26,,656.7849462471606
2024-12-27,,602.6842000020608
2024-12-28,,344.8610646146135
2024-12-29,,338.4855582680872
2024-12-30,,636.989105101761
2024-12-31,,710.1744087962662
2025-01-01,,615.6156221022768
2025-01-02,,695.3344331726062
2025-01-03,,630.7582785848658
2025-01-04,,361.3923477587131
2025-01-05,,340.15718816356764
2025-01-06,,648.9346887184117
2025-01-07,,757.9641037520415
2025-01-08,,681.698176493208
2025-01-09,,750.4559673238196
2025-01-10,,673.5124900534424
2025-01-11,,393.8573216365953
2025-01-12,,383.5634971838259
2025-01-13,,741.9473040814499
2025-01-14,,823.3940171780408
2025-01-15,,698.0893650465237
2025-01-16,,790.6898683405786
2025-01-17,,720.1435846698204
2025-01-18,,423.2362411437804
2025-01-19,,421.53713579562543
2025-01-20,,781.4157163611635
2025-01-21,,860.8092213867184
2025-01-22,,744.0291896812496
2025-01-23,,793.5955712542424
2025-01-24,,682.9433600275413
2025-01-25,,393.8594768186189
2025-01-26,,393.1596225857768
2025-01-27,,710.9453719442821
2025-01-28,,784.345741815974
2025-01-29,,692.9711693690806
2025-01-30,,775.4960300917419
2025-01-31,,686.1463863611197
2025-02-01,,397.03116540592487
2025-02-02,,391.8510792331409
2025-02-03,,731.4894532614189
2025-02-04,,786.9692361864104
2025-02-05,,680.6238529473521
2025-02-06,,745.2823198029809
2025-02-07,,655.3331297115876
2025-02-08,,357.8898684007987
2025-02-09,,360.16415658526194
2025-02-10,,704.7047754995547
2025-02-11,,767.8824713734826
2025-02-12,,669.567644792867
2025-02-13,,746.8513783111707
2025-02-14,,666.1986393914377
2025-02-15,,377.8073045841244
2025-02-16,,373.07083809385745
2025-02-17,,716.8128993505729
2025-02-18,,788.5054789061418
2025-02-19,,684.853904131227
